"model"	"Genus"	"estimate"	"std.error"	"statistic"	"p.value"	"p.adj.Bon"
"75 mg/kg vs 0 mg/kg"	"Cellulosilyticum"	-1.54240959420421	0.313687202178442	-4.91703067097651	8.88686993209308e-06	0.00715393029533493
"75 mg/kg vs 0 mg/kg"	"Mucispirillum"	0.182290198583901	0.406081261485788	0.448900788765602	0.655333391881929	1
"75 mg/kg vs 0 mg/kg"	"Oceanivirga"	0.715374650168144	0.474505097061886	1.50762268856059	0.137589199700189	1
"75 mg/kg vs 0 mg/kg"	"Leucobacter"	0.300968325787445	0.29544174560908	1.01870615869457	0.312970293791275	1
"75 mg/kg vs 0 mg/kg"	"U29-B03"	-1.32814601100422	0.559475770463828	-2.37391158137757	0.0212561508311383	1
"75 mg/kg vs 0 mg/kg"	"Rikenella"	-0.325444553747193	0.415949712623808	-0.782413219363205	0.437453622930092	1
"75 mg/kg vs 0 mg/kg"	"Oscillospira"	-0.412377365401133	0.533662874890643	-0.772730097602604	0.443114652040358	1
"75 mg/kg vs 0 mg/kg"	"Ralstonia"	-0.447003317977096	0.435170738278272	-1.02719066025818	0.308996012166741	1
"75 mg/kg vs 0 mg/kg"	"Paludicola"	-0.292830237451667	0.523037185449142	-0.559865045159664	0.577930198304287	1
"75 mg/kg vs 0 mg/kg"	"Butyrivibrio"	-1.6077424947805	0.612167393150661	-2.62631187607997	0.0112592927816828	1
"75 mg/kg vs 0 mg/kg"	"Avibacterium"	-0.104634588985755	0.455209533736984	-0.229860275831157	0.819085188646061	1
"75 mg/kg vs 0 mg/kg"	"Schwartzia"	-0.236787361063588	0.524891755512511	-0.451116556083807	0.653745951682577	1
"75 mg/kg vs 0 mg/kg"	"Caulobacter"	-0.537291833811571	0.41333046374654	-1.29990862261013	0.199257498171265	1
"75 mg/kg vs 0 mg/kg"	"Synergistes"	-0.431809112463843	0.42313138496577	-1.02050835226693	0.312123233396287	1
"75 mg/kg vs 0 mg/kg"	"Roseburia"	-0.708729515335016	0.401517048875118	-1.76512931971526	0.0833030832806516	1
"75 mg/kg vs 0 mg/kg"	"Psychrobacter"	0.911718407964581	0.553813175134373	1.64625626276112	0.105628925224006	1
"75 mg/kg vs 0 mg/kg"	"Lachnobacterium"	0.22758755562252	0.4749820346828	0.47914981831788	0.633803177115266	1
"75 mg/kg vs 0 mg/kg"	"Frisingicoccus"	-0.582443318980873	0.453273430740015	-1.28497123255156	0.204389734709912	1
"75 mg/kg vs 0 mg/kg"	"Prevotellaceae UCG-004"	-0.731278388349697	0.525189477694438	-1.39240868183418	0.169613365599323	1
"75 mg/kg vs 0 mg/kg"	"Anaerostipes"	0.925210437511684	0.372573469049634	2.48329662300358	0.0162156508489187	1
